class,full_count,subset_count,full_fraction,subset_fraction,target_fraction
class_0,436783,436783,0.13601591149154973,0.13601591149154973,0.13601591149154973
class_1,40,40,1.2456154336734694e-05,1.2456154336734694e-05,1.2456154336734694e-05
class_2,752759,752759,0.23441205705915177,0.23441205705915177,0.23441205705915177
class_3,123920,123920,0.03858916613520408,0.03858916613520408,0.03858916613520408
class_4,4087,4087,0.0012727075693558674,0.0012727075693558674,0.0012727075693558674
class_5,19197,19197,0.005978019870057398,0.005978019870057398,0.005978019870057398
class_7,1787206,1787206,0.5565428441884567,0.5565428441884567,0.5565428441884567
class_8,87272,87272,0.027176837531887755,0.027176837531887755,0.027176837531887755
